C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1429.3,T30,취업자,Employed persons,2026-01-27,101,201301,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1459.5,T30,취업자,Employed persons,2026-01-27,101,201302,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1491.7,T30,취업자,Employed persons,2026-01-27,101,201303,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1510.7,T30,취업자,Employed persons,2026-01-27,101,201304,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1523.4,T30,취업자,Employed persons,2026-01-27,101,201305,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1531.5,T30,취업자,Employed persons,2026-01-27,101,201306,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1541.3,T30,취업자,Employed persons,2026-01-27,101,201307,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1549.7,T30,취업자,Employed persons,2026-01-27,101,201308,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1548.7,T30,취업자,Employed persons,2026-01-27,101,201309,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1562.1,T30,취업자,Employed persons,2026-01-27,101,201310,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1494,T30,취업자,Employed persons,2026-01-27,101,201311,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1447.4,T30,취업자,Employed persons,2026-01-27,101,201312,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1481.1,T30,취업자,Employed persons,2026-01-27,101,201401,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1489,T30,취업자,Employed persons,2026-01-27,101,201402,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1442.7,T30,취업자,Employed persons,2026-01-27,101,201403,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1482,T30,취업자,Employed persons,2026-01-27,101,201404,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1474,T30,취업자,Employed persons,2026-01-27,101,201405,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1465.2,T30,취업자,Employed persons,2026-01-27,101,201406,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
01,A 농업 임업 및 어업,A Agriculture forestry and fishing,산업별,By industry,1446.4,T30,취업자,Employed persons,2026-01-27,101,201407,M,DT_1DA9003S,산업별 계절조정 취업자,천명,Thousand Person
