C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
B,광업,Mining and quarrying,산업별,By industry,87.97746,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201101,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,121.44908,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201102,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,125.97575,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201103,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,108.37251,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201104,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,98.74782,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201201,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,141.61801,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201202,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,108.32095,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201203,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,108.15922,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201204,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,104.42223,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201301,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,141.10968,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201302,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,135.68633,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201303,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,128.6699,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201304,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,101.66875,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201401,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,137.09047,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201402,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,109.71901,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201403,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,105.12542,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201404,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,100.07862,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201501,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,126.19838,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201502,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
B,광업,Mining and quarrying,산업별,By industry,117.09633,T001,노동생산성지수,Indices of Labor Productivity,2023-06-27,344,201503,Q,DT_344N_1D8A_AA,노동생산성지수(산업생산기준),2015＝100,2015＝100
