C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,LST_CHN_DE,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,191.78752,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,187.62015,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,181.08704,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,180.1324,T001,지역별 노동생산성,2025-09-02,344,2014,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,175.06496,T001,지역별 노동생산성,2025-09-02,344,2015,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,174.75636,T001,지역별 노동생산성,2025-09-02,344,2016,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,182.86593,T001,지역별 노동생산성,2025-09-02,344,2017,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,185.39907,T001,지역별 노동생산성,2025-09-02,344,2018,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,196.63712,T001,지역별 노동생산성,2025-09-02,344,2019,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,194.07107,T001,지역별 노동생산성,2025-09-02,344,2020,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,216.4980426,T001,지역별 노동생산성,2025-09-02,344,2021,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,226.7054356,T001,지역별 노동생산성,2025-09-02,344,2022,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,214.3065927,T001,지역별 노동생산성,2026-07-30,344,2023,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C,제조업,Manufacturing,산업별,By industry,224.2819576,T001,지역별 노동생산성,2026-07-30,344,2024,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,130.66717,T001,지역별 노동생산성,2025-09-02,344,2011,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,149.92915,T001,지역별 노동생산성,2025-09-02,344,2012,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,153.2074,T001,지역별 노동생산성,2025-09-02,344,2013,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,146.54119,T001,지역별 노동생산성,2025-09-02,344,2014,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,143.81349,T001,지역별 노동생산성,2025-09-02,344,2015,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,140.83865,T001,지역별 노동생산성,2025-09-02,344,2016,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,144.86075,T001,지역별 노동생산성,2025-09-02,344,2017,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,130.58728,T001,지역별 노동생산성,2025-09-02,344,2018,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
00,전국,Whole country,시도별,By province,C10,식료품 제조업,Manufacture of food products,산업별,By industry,145.25966,T001,지역별 노동생산성,2025-09-02,344,2019,A,DT_344N_1D8B_DD,제조업 지역별 노동생산성,백만원,1000000won
