spec_id,policy,wolfson_vs_market,output_vs_market,ede_vs_market,vulnerable_vs_market
0,공공AI 실패,-0.0035051926461947824,-0.029700739775893173,-0.029601319088070933,0.014600348871964708
0,공공AI 종합안,-0.023873244941498034,-0.10323330671426209,-0.09656482748451783,0.05112101468799516
0,공공AI+공교육,-0.018511501990774754,-0.05854153082287409,-0.05416872264496889,0.023597764756187613
0,공공AI+돌봄,-0.012735728600934984,-0.0903039529072012,-0.08680013308251677,0.027613238272055085
0,전국민 공공AI,-0.009358648937694072,-0.05176299990377786,-0.04852266508086956,0.0005040179277479755
1,공공AI 실패,-0.004463026907043033,-0.02920431950270981,-0.027950214338091167,0.014942128503658616
1,공공AI 종합안,-0.03453528874709198,-0.10473414554748092,-0.09268639330964834,0.052735893254059474
1,공공AI+공교육,-0.028400440404679483,-0.05885535237387929,-0.05066897652342098,0.02507584625695477
1,공공AI+돌봄,-0.016043922854182657,-0.08981908743486075,-0.08595749895376342,0.028185149985164637
1,전국민 공공AI,-0.012798490447993915,-0.05136262602548888,-0.047868329075386656,0.0009740697324569138
2,공공AI 실패,-0.005478848932658098,0.00039007710151817143,0.0018214391770624283,0.01501137766838064
2,공공AI 종합안,-0.053389677854984496,0.029307762107304923,0.04683736594732643,0.05304644297124298
2,공공AI+공교육,-0.04163737513554844,0.03886846306535604,0.05064747249893964,0.025361558139965434
2,공공AI+돌봄,-0.026497136033817786,-0.012593907319655928,-0.00549243180617523,0.028288990285107785
2,전국민 공공AI,-0.022240051280749407,-0.00197119278530751,0.004403362459156068,0.0010594156333555045
3,공공AI 실패,-0.006327786375614347,-0.010856959684616085,-0.009494617605732447,0.014908535190810257
3,공공AI 종합안,-0.04283704171498044,-0.02045842714474745,-0.007151487134798712,0.05257929073540742
3,공공AI+공교육,-0.034699714848683325,0.0016321807837158392,0.011476814898132875,0.024932307096080707
3,공공AI+돌봄,-0.02048211637331336,-0.04024399924403414,-0.035094765051079696,0.028130535602103695
3,전국민 공공AI,-0.015887053403889698,-0.01966661389277108,-0.014996306978597579,0.0009291824032897633
4,공공AI 실패,-0.001004034351189842,-0.009432257414387135,-0.010824095108221764,0.014434599106707857
4,공공AI 종합안,-0.02241209636868635,-0.010247836721687026,-0.007183561321340244,0.050324244736824585
4,공공AI+공교육,-0.014269816267348856,0.00802593398507509,0.00828898971884745,0.022870516223493897
4,공공AI+돌봄,-0.012302005034357494,-0.03641855244965608,-0.03221640131459436,0.0273225879320604
4,전국민 공공AI,-0.010197268576982652,-0.017653364582910086,-0.013722486083784242,0.00026513364941960216
5,공공AI 실패,-0.004539530340288492,-0.022466843995329278,-0.02105172720599985,0.014887000170507037
5,공공AI 종합안,-0.038429170946707975,-0.07253328837221247,-0.06024850083128627,0.05252347584260549
5,공공AI+공교육,-0.03066391908869677,-0.03603241238012307,-0.02704127606125334,0.024878875925050708
5,공공AI+돌봄,-0.01806139799676168,-0.07041321838490376,-0.06642348305957965,0.028120569902918485
5,전국민 공공AI,-0.014527564123037129,-0.038843163260851424,-0.03519671958781431,0.000920991637512766
6,공공AI 실패,-0.0011307235913356056,-0.009362602870459036,-0.009332642192221099,0.01427107115559349
6,공공AI 종합안,-0.018304904335269635,-0.012672466600011728,-0.008386462761499652,0.049802616350728655
6,공공AI+공교육,-0.013865214502783163,0.00035982137845887163,0.00249474139541576,0.022363722087560284
6,공공AI+돌봄,-0.00868580114281721,-0.02428459242102502,-0.02328395052221654,0.027260569924549467
6,전국민 공공AI,-0.0067113659755842076,-0.010755882419609668,-0.00966816078169256,0.00021416131280382888
7,공공AI 실패,-0.0060180063989194454,-0.0005722964541674119,0.0005291097894792041,0.014753145391324477
7,공공AI 종합안,-0.04103058529131824,0.02869426252423599,0.04039379448378988,0.051875438826101086
7,공공AI+공교육,-0.03400498933905974,0.036052075214856094,0.04530027847794098,0.024285935406294534
7,공공AI+돌봄,-0.020710292813676187,-0.010352953471589599,-0.005210819760511659,0.02789022627423706
7,전국민 공공AI,-0.017209267643592915,-0.0005701344433525352,0.004161552956396614,0.0007316731887329064
8,공공AI 실패,-0.0059370004183515734,-0.02274183348001088,-0.02127204606003094,0.014982825161116192
8,공공AI 종합안,-0.04162819190665375,-0.07354085031007145,-0.06074822048140313,0.05292125864049506
8,공공AI+공교육,-0.034682059135957885,-0.03564678155141017,-0.025573993042528165,0.02524601634038563
8,공공AI+돌봄,-0.018956129891732412,-0.07380951438949492,-0.06869992380403853,0.028248677457437532
8,전국민 공공AI,-0.015158772261337161,-0.04089315028473876,-0.036277372807968694,0.0010262826917406195
9,공공AI 실패,-0.0007117320192518983,-0.03333894969423083,-0.03358809398439585,0.014580207874748896
9,공공AI 종합안,-0.018915882450836682,-0.12329277302181856,-0.11629404211370031,0.05100803446502981
9,공공AI+공교육,-0.013251750976101498,-0.07305899811025185,-0.07026097904385649,0.023496893183597822
9,공공AI+돌봄,-0.00843998330028628,-0.10111113606704036,-0.0979892635048976,0.027562615263698485
9,전국민 공공AI,-0.00631930347510859,-0.059081017446781604,-0.05621618245255312,0.0004624110924753202
10,공공AI 실패,-0.0017002224485493794,0.0009060708808813767,0.0002111842438814321,0.014361095550016339
10,공공AI 종합안,-0.02040914221552037,0.03212768601242977,0.03717455338522788,0.0500094156619945
10,공공AI+공교육,-0.014164330822107316,0.03416751719479705,0.0350196883981491,0.022578518427626627
10,공공AI+돌봄,-0.010563045582127978,-0.0007015093351668833,0.0015575266880320168,0.027227136499416472
10,전국민 공공AI,-0.008060087578633288,0.0042004360016674736,0.006390782327581564,0.0001866825228769393
11,공공AI 실패,-0.000752999693878785,-0.010014323877355472,-0.010434769596433038,0.014309996667101605
11,공공AI 종합안,-0.014906900973901814,-0.01988996539591012,-0.017376933931407795,0.049795385943353046
11,공공AI+공교육,-0.009885338806868739,-0.005483730545944976,-0.004874614438525361,0.022380236237256344
11,공공AI+돌봄,-0.008387830908055484,-0.028325055207828062,-0.02722338777251797,0.02716130032192769
11,전국민 공공AI,-0.006434076123035315,-0.014088006892752664,-0.012955836243865877,0.00013257204859503258
12,공공AI 실패,-0.008017834700876747,-0.015454773429180335,-0.01365800268789652,0.014955464089435157
12,공공AI 종합안,-0.047718933818929124,-0.03901265540082266,-0.024845277271331567,0.05285035308628827
12,공공AI+공교육,-0.03982499006393678,-0.011157337319600863,0.00024494177377423765,0.025178226586105395
12,공공AI+돌봄,-0.022308884111868224,-0.05244898012357488,-0.04729148499245711,0.028235651136515716
12,전국민 공공AI,-0.0173334451213058,-0.02711589061771097,-0.02241115023409121,0.0010155764139748377
13,공공AI 실패,-0.001511158277164082,-0.031593944270779814,-0.031937836201074786,0.014438001568530293
13,공공AI 종합안,-0.02086439768638801,-0.1112550941407472,-0.10510514087446689,0.05036832144020694
13,공공AI+공교육,-0.01386609434917098,-0.06560303054342745,-0.06355708434243243,0.022907423266458154
13,공공AI+돌봄,-0.0101038943189517,-0.09213248527911143,-0.08970843792498653,0.02735256235266048
13,전국민 공공AI,-0.007571377404300167,-0.053201856515539325,-0.05089596639604628,0.00028976949823189546
14,공공AI 실패,-0.004714855770906801,0.007667852048276365,0.008184221508835535,0.014658951097529054
14,공공AI 종합안,-0.02625462801311071,0.05813479005121985,0.0658494776073021,0.05141202886829562
14,공공AI+공교육,-0.020294916795902174,0.053585354379424216,0.05910158122810978,0.02386275107790773
14,공공AI+돌봄,-0.012749184974250857,0.014348386092885294,0.01764673101199621,0.027722053743768054
14,전국민 공공AI,-0.008868763003279406,0.013848839414976055,0.016900632843590446,0.0005934529011650067
15,공공AI 실패,-0.0032030867722140366,-0.008071338757165689,-0.007895299595398642,0.014702948082775908
