policy,premium_gap,rearrangement_speed,delta_wolfson
전국민 공공AI,0.1,0.015,0.038870019160456196
전국민 공공AI,0.1,0.03,0.04787754531407442
전국민 공공AI,0.1,0.045,0.058274961382903424
전국민 공공AI,0.1,0.065,0.07228320937136477
전국민 공공AI,0.1,0.09,0.09002204970870192
전국민 공공AI,0.3,0.015,0.047120169127334154
전국민 공공AI,0.3,0.03,0.05702062364980668
전국민 공공AI,0.3,0.045,0.06770459887001386
전국민 공공AI,0.3,0.065,0.08207761914582662
전국민 공공AI,0.3,0.09,0.10031262628148896
전국민 공공AI,0.5,0.015,0.055407687356254065
전국민 공공AI,0.5,0.03,0.06579487629437547
전국민 공공AI,0.5,0.045,0.07636821280796362
전국민 공공AI,0.5,0.065,0.09053482742377728
전국민 공공AI,0.5,0.09,0.10918285272994756
전국민 공공AI,0.75,0.015,0.06675158562390264
전국민 공공AI,0.75,0.03,0.07712458909812937
전국민 공공AI,0.75,0.045,0.08767349818486421
전국민 공공AI,0.75,0.065,0.10199968624101806
전국민 공공AI,0.75,0.09,0.12195424223731961
전국민 공공AI,1.0,0.015,0.07900261673087898
전국민 공공AI,1.0,0.03,0.08939269093205508
전국민 공공AI,1.0,0.045,0.10028565609140185
전국민 공공AI,1.0,0.065,0.11464405698122908
전국민 공공AI,1.0,0.09,0.13546958245156127
공공AI 종합안,0.1,0.015,0.029829142688447847
공공AI 종합안,0.1,0.03,0.03657610103810865
공공AI 종합안,0.1,0.045,0.04335496343341544
공공AI 종합안,0.1,0.065,0.05395718526471671
공공AI 종합안,0.1,0.09,0.06758078748071429
공공AI 종합안,0.3,0.015,0.037726709194779426
공공AI 종합안,0.3,0.03,0.045240368981375796
공공AI 종합안,0.3,0.045,0.052695586102996815
공공AI 종합안,0.3,0.065,0.06289776562962009
공공AI 종합안,0.3,0.09,0.0766020830818876
공공AI 종합안,0.5,0.015,0.04684068818995744
공공AI 종합안,0.5,0.03,0.05400948330384189
공공AI 종합안,0.5,0.045,0.06142810075314816
공공AI 종합안,0.5,0.065,0.07236512275118888
공공AI 종합안,0.5,0.09,0.08582499889720252
공공AI 종합안,0.75,0.015,0.05885271568634045
공공AI 종합안,0.75,0.03,0.06604905363466282
공공AI 종합안,0.75,0.045,0.07352995020478847
공공AI 종합안,0.75,0.065,0.08402253148880208
공공AI 종합안,0.75,0.09,0.09833392186356311
공공AI 종합안,1.0,0.015,0.0707062573371993
공공AI 종합안,1.0,0.03,0.0781783032518968
공공AI 종합안,1.0,0.045,0.08623784828257723
공공AI 종합안,1.0,0.065,0.09698469301997498
공공AI 종합안,1.0,0.09,0.11206274645822802
