period,gini,wolfson,atkinson_e1,ede_e1,middle_share,bottom20_income,top20_income,employment,vulnerable_employment,skill_gap,capital_top10,output,growth_q1,growth_q2,growth_q3,growth_q4,growth_q5,seed,policy
0,0.28674570602246163,0.25868531044937426,0.12584051831648935,0.9893226839264871,0.35642857142857143,0.24527790378099995,2.969644215655765,0.9751420349263461,0.8877382222480147,0.7165055426075388,0.3669487155396296,1.131741638289146,0.0,0.0,0.0,0.0,0.0,0,시장·고가AI
1,0.2910267935266171,0.26289354098968803,0.12943733720207462,0.9788976955002665,0.3514285714285714,0.23892495165547406,2.9898315999816476,0.9745068920171712,0.8870801264435565,0.7182419005449212,0.36786546615744115,1.1244425442669,-0.02011378765677713,-0.016024412432752305,-0.011674709564885049,-0.00653562444696826,0.001381467880665567,0,시장·고가AI
2,0.2962077909015278,0.26765760687439966,0.1338646803040473,0.974835283124066,0.3464285714285714,0.2331500156337743,3.045555425193407,0.9738743225460885,0.8864246705579579,0.7199381816757884,0.36875500774772974,1.1254999778398036,-0.03619281397775704,-0.02668631178445239,-0.016484947652467496,-0.006087470318557465,0.011691368754542594,0,시장·고가AI
3,0.30178180467037696,0.2721986636012151,0.13868862335711585,0.9708112966244178,0.3435714285714286,0.22741506095625266,3.1050778868763254,0.9732439320433562,0.8857713602938557,0.7215292373972353,0.36963354785686037,1.1271316308491468,-0.052600979974369584,-0.03755443611853873,-0.02130611275500759,-0.0054407702870447015,0.022460093416377065,0,시장·고가AI
4,0.3076183297025542,0.276738774518983,0.14381297649612312,0.9669296832429359,0.3357142857142857,0.2218063331384449,3.167183371779362,0.9726159292465689,0.8851201490351002,0.7230911695672146,0.3705585036941701,1.1293440062731313,-0.06903766929257708,-0.04830968491432433,-0.02594904252236996,-0.00462045236604758,0.03344297447105021,0,시장·고가AI
5,0.31369501795139143,0.28312228405576195,0.149220601001384,0.9632041321348398,0.32785714285714285,0.21636854279476572,3.2317404461441743,0.9719903063940132,0.8844713625061537,0.7245517776164228,0.37154017729600386,1.1321432245168959,-0.08535570594110506,-0.05895222175235782,-0.030472668402434656,-0.0036037131771930494,0.044608375355479506,0,시장·고가AI
6,0.3200036504333865,0.2890798537896996,0.15491983153670874,0.9596246057262287,0.32571428571428573,0.21108944317631534,3.298803058337276,0.9713669261694164,0.8838247137935588,0.7259840650629754,0.3726106369048002,1.1355426875904886,-0.10162274351900152,-0.0694540555437384,-0.03487571785432528,-0.0024272419702782775,0.055987863635653674,0,시장·고가AI
7,0.32652163511082166,0.2987001445387444,0.16090319636224237,0.9561900357443123,0.31857142857142856,0.20596796507275963,3.368463252262348,0.9707457088489658,0.8831801470451256,0.7273532852358515,0.3738277516511672,1.1395467502663785,-0.11782466445918746,-0.07983399054082806,-0.03912158178675433,-0.0010745930827528577,0.06753545047047439,0,시장·고가AI
8,0.3332362055019099,0.30380951073959767,0.16716953690190328,0.9529025547534908,0.31285714285714283,0.20099923171449435,3.441116845433646,0.9701266770269539,0.8825380760369039,0.7286627147038808,0.3752549360931222,1.1441735106671418,-0.13392629801148986,-0.09010107338114243,-0.04322531378928175,0.0004600680451131703,0.07925309735967459,0,시장·고가AI
9,0.34013650987387745,0.31198881518572985,0.17371321187211763,0.9497447988024027,0.31214285714285717,0.19617832141561115,3.51613788926741,0.9695097381088156,0.8818977358090891,0.7299092416167623,0.37681325196195414,1.1494130275932877,-0.14996008456186294,-0.10022928770885083,-0.04718769459159968,0.002160460053171969,0.09108042846298253,0,시장·고가AI
