equalizing_design,capital_dividend,delta_wolfson
0,0.0,0.018598992664514973
0,0.3,0.01840722273789514
0,0.6,0.018219305210044192
0,0.9,0.018022802018527555
1,0.0,0.014343522839869128
1,0.3,0.014127912327800717
1,0.6,0.01390309356229315
1,0.9,0.013675541595721548
2,0.0,0.010450030369179531
2,0.3,0.010231242734643474
2,0.6,0.010025541606952472
2,0.9,0.009822873469029604
3,0.0,0.006866619109362736
3,0.3,0.006658044401504619
3,0.6,0.0064559274735582735
3,0.9,0.006249529674884159
5,0.0,0.0019190190875436584
5,0.3,0.0017085982586732783
5,0.6,0.0015086667100642052
5,0.9,0.0013159232940252567
8,0.0,-0.0005038046255279432
8,0.3,-0.0007227519101708907
8,0.6,-0.0009359804642348896
8,0.9,-0.0011390151825957165
