seed,policy,premium_gap,rearrangement_speed,capital_return,feedback,name,public_access,public_quality,education,care,capital_dividend,worker_ownership,equalizing_design,trust,initial_gini,initial_wolfson,initial_atkinson_e1,initial_ede_e1,initial_middle_share,initial_bottom20_income,initial_top20_income,initial_employment,initial_vulnerable_employment,initial_skill_gap,initial_capital_top10,initial_output,initial_growth_q1,initial_growth_q2,initial_growth_q3,initial_growth_q4,initial_growth_q5,final_gini,final_wolfson,final_atkinson_e1,final_ede_e1,final_middle_share,final_bottom20_income,final_top20_income,final_employment,final_vulnerable_employment,final_skill_gap,final_capital_top10,final_output,final_growth_q1,final_growth_q2,final_growth_q3,final_growth_q4,final_growth_q5,delta_gini,delta_wolfson,delta_atkinson_e1,delta_ede_e1,delta_middle_share,delta_bottom20_income,delta_top20_income,delta_employment,delta_vulnerable_employment,delta_skill_gap,delta_capital_top10,delta_output,delta_growth_q1,delta_growth_q2,delta_growth_q3,delta_growth_q4,delta_growth_q5,fiscal_cost,delta_net_output,delta_net_ede_e1,budget_error
0,시장·고가AI,0.45,0.0136,0.065,0.18,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.4181701948168669,0.4202593393374189,0.2618574427615302,0.8376200031423917,0.22625,0.4139317888708725,3.1569556139146715,0.9405817347709973,0.8849878949994331,0.7310282879108445,0.26787695852538296,1.1347672545478014,-0.5117748585666883,-0.40849550848967164,-0.3297718012812706,-0.1734305195280678,0.06132854983947139,0.15730070273769126,0.1844622346814396,0.15165459143572624,-0.26230070026221464,-0.145625,-0.2292199773068156,1.099918816059799,-0.0023664688938774825,-0.001757918727365304,0.01655121826360395,0.018943983206098608,-0.10138045062690715,-0.5117748585666883,-0.40849550848967164,-0.3297718012812706,-0.1734305195280678,0.06132854983947139,0.0,-0.10138045062690715,-0.26230070026221464,0.0
0,전국민 공공AI,0.45,0.0136,0.065,0.18,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.41063169580094816,0.41264882344809733,0.25660862669616136,0.8783995165713395,0.220625,0.4323208120120975,3.2012853654996505,0.9407428041741831,0.8850994977064924,0.7080073386528245,0.26627187658505924,1.181611124524471,-0.4701395667288186,-0.3557171959275241,-0.27076647868926934,-0.1276069433798314,0.09977094487398763,0.1497622037217725,0.17685171879211806,0.14640577537035737,-0.22152118683326683,-0.15125000000000002,-0.2108309541655906,1.144248567644778,-0.0022053994906916508,-0.0016463160203059601,-0.006469730994416056,0.017338901265774892,-0.05453658065023759,-0.4701395667288186,-0.3557171959275241,-0.27076647868926934,-0.1276069433798314,0.09977094487398763,0.02667168,-0.08120826065023759,-0.24819286683326683,0.0
0,공공AI+공교육,0.45,0.0136,0.065,0.18,공공AI+공교육,0.98,0.82,0.065,0.0,0.0,0.0,0.25,0.86,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.408386928486026,0.4136459424879253,0.2561919902013735,0.9278315359884659,0.225,0.46954494946144126,3.2538433730041523,0.956597842998529,0.9138418719573779,0.200917656555339,0.2654959177619018,1.2474072929648348,-0.40389894224335876,-0.29068943280185827,-0.21158331514977963,-0.07877471284918544,0.13423047023226034,0.14751743640685033,0.17784883783194602,0.14598913887556952,-0.17208916741614044,-0.146875,-0.17360681671624684,1.1968065751492798,0.013649639333654262,0.02709605823057948,-0.5135594130919016,0.01656294244261744,0.011259587790126258,-0.40389894224335876,-0.29068943280185827,-0.21158331514977963,-0.07877471284918544,0.13423047023226034,0.04629498,-0.03503539220987374,-0.21838414741614043,0.0
0,공공AI+돌봄,0.45,0.0136,0.065,0.18,공공AI+돌봄,0.98,0.78,0.0,0.075,0.0,0.0,0.1,0.88,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.40750127995062824,0.41297925669991215,0.2531207720032753,0.8948791641635326,0.22,0.4401306720733552,3.2190078480034923,0.9577777902244716,0.9188739277675094,0.7031035297334906,0.26589712874750165,1.1981577885942452,-0.4474892011432896,-0.3353285912536,-0.2502718435933021,-0.1108412010189034,0.11240748039959059,0.1466317878714526,0.17718215204393287,0.14291792067747133,-0.2050415392410737,-0.151875,-0.2030210941043329,1.1619710501486198,0.014829586559596875,0.03212811404071103,-0.011373539913750008,0.016964153428217305,-0.037989916580463357,-0.4474892011432896,-0.3353285912536,-0.2502718435933021,-0.1108412010189034,0.11240748039959059,0.04255218,-0.08054209658046335,-0.2475937192410737,0.0
0,공공AI 종합안,0.45,0.0136,0.065,0.18,공공AI 종합안,0.98,0.9,0.065,0.075,0.22,0.08,0.35,0.92,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.382802499170236,0.382980777587828,0.22426400196061524,0.9836717472906223,0.24,0.5433575136973409,3.080920034688461,0.9737750086988239,0.9479404639182611,0.19775142626692743,0.2545821767462212,1.2680496325770363,-0.26366478348055333,-0.20705121661027662,-0.1593629040776774,-0.0522008876848009,0.12377420621760016,0.12193300709106036,0.14718367293184872,0.11406115063481126,-0.116248956113984,-0.13187500000000002,-0.09979425248034723,1.0238832368335884,0.03082680503394919,0.06119465019146275,-0.5167256433803131,0.00564920142693684,0.03190192740232778,-0.26366478348055333,-0.20705121661027662,-0.1593629040776774,-0.0522008876848009,0.12377420621760016,0.06642450000000001,-0.03452257259767223,-0.182673456113984,0.0
0,공공AI 실패,0.45,0.0136,0.065,0.18,공공AI 실패,0.9,0.42,0.018,0.025,0.0,0.0,0.04,0.38,0.26086949207917565,0.23579710465597928,0.11020285132580399,1.0999207034046063,0.371875,0.6431517661776881,2.0570367978548725,0.9429482036648748,0.8867458137267984,0.7144770696472406,0.24893297531928435,1.2361477051747085,0.0,0.0,0.0,0.0,0.0,0.4168040928075395,0.4213423074427027,0.2608684591854208,0.8552770983642345,0.22875,0.4244347915585881,3.179017641996708,0.9511199421766129,0.9030354415291881,0.5303687389695808,0.2676089361470748,1.157137872132549,-0.4892140855015752,-0.38358984252910755,-0.30811335208201074,-0.15368656782246792,0.07676454648747798,0.15593460072836385,0.1855452027867234,0.1506656078596168,-0.24464360504037186,-0.143125,-0.2187169746191,1.1219808441418357,0.008171738511738136,0.01628962780238974,-0.18410833067765975,0.018675960827790467,-0.07900983304215958,-0.4892140855015752,-0.38358984252910755,-0.30811335208201074,-0.15368656782246792,0.07676454648747798,0.015324899999999999,-0.09433473304215959,-0.25996850504037183,0.0
1,시장·고가AI,0.45,0.0136,0.065,0.18,시장·고가AI,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.65,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.412911545020445,0.3933987635944503,0.2562806441693768,0.7444791751969911,0.243125,0.4492701680507172,2.6355191633536155,0.9386599938457997,0.8863226201108226,0.6932875005690216,0.2683935958963139,1.001021647964936,-0.5235742151949252,-0.420316565241489,-0.3666276518350668,-0.22162997531353593,-0.003681043801408099,0.15442271294784338,0.1572037679897352,0.14890727447301966,-0.26768976258400035,-0.12375,-0.25186329249426387,0.7250453140339435,-0.002430077674453912,-0.0018673139726953503,0.0019180649694414686,0.02005422983594174,-0.13290031158570392,-0.5235742151949252,-0.420316565241489,-0.3666276518350668,-0.22162997531353593,-0.003681043801408099,0.0,-0.13290031158570392,-0.26768976258400035,0.0
1,전국민 공공AI,0.45,0.0136,0.065,0.18,전국민 공공AI,0.98,0.72,0.0,0.0,0.0,0.0,0.1,0.82,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.405655509181981,0.3953378909710626,0.2522587654596906,0.788032696983171,0.226875,0.46961018785199404,2.7398649084766533,0.9388482846227691,0.8864578983975863,0.6728466412407474,0.2665697532031848,1.0538842323810478,-0.4796538712836975,-0.36125604460367206,-0.3034734835422291,-0.1562690391100789,0.04909649928429878,0.14716667710937936,0.1591428953663475,0.14488539576333348,-0.22413624079782046,-0.14,-0.231523272692987,0.8293910591569813,-0.0022417868974844435,-0.001732035685931721,-0.01852279435883264,0.018230387142812665,-0.08003772716959223,-0.4796538712836975,-0.36125604460367206,-0.3034734835422291,-0.1562690391100789,0.04909649928429878,0.02667168,-0.10670940716959224,-0.25080792079782044,0.0
1,공공AI+공교육,0.45,0.0136,0.065,0.18,공공AI+공교육,0.98,0.82,0.065,0.0,0.0,0.0,0.25,0.86,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.4031169333916028,0.39338285619625724,0.2516089397331356,0.8344740549399732,0.226875,0.5071063367143003,2.7874094633254094,0.955246341855515,0.9150583000816416,0.20038425796077053,0.26576172606241966,1.1150240819851762,-0.41173230834628505,-0.29590094270480594,-0.24346011837292175,-0.10121642304407641,0.08706420042667054,0.14462810131900117,0.15718786059154213,0.14423557003677845,-0.1776948828410183,-0.14,-0.19402712383068077,0.8769356140057374,0.014156270335261456,0.02686836599812359,-0.49098517763880956,0.0174223600020475,-0.018897877565463794,-0.41173230834628505,-0.29590094270480594,-0.24346011837292175,-0.10121642304407641,0.08706420042667054,0.04629498,-0.0651928575654638,-0.2239898628410183,0.0
1,공공AI+돌봄,0.45,0.0136,0.065,0.18,공공AI+돌봄,0.98,0.78,0.0,0.075,0.0,0.0,0.1,0.88,0.25848883207260165,0.2361949956047151,0.10737336969635713,1.0121689377809915,0.366875,0.701133460544981,1.910473849319672,0.9410900715202536,0.888189934083518,0.6913694355995801,0.24833936606037216,1.13392195955064,0.0,0.0,0.0,0.0,0.0,0.4023410565771125,0.3910176090033954,0.24868921595979232,0.8050173273766162,0.226875,0.479085096587322,2.773723037458461,0.9566687432593429,0.9202350662832001,0.6683039981225967,0.2662650233407154,1.0714837913647388,-0.45544619778727763,-0.3382977606689332,-0.281530582034061,-0.13571929262957066,0.06605899010372007,0.14385222450451085,0.15482261339868028,0.14131584626343519,-0.20715161040437524,-0.14,-0.22204836395765903,0.8632491881387891,0.015578671739089334,0.03204513219968208,-0.02306543747698342,0.017925657280343232,-0.0624381681859012,-0.45544619778727763,-0.3382977606689332,-0.281530582034061,-0.13571929262957066,0.06605899010372007,0.04255218,-0.1049903481859012,-0.24970379040437524,0.0
